DATE,DRCLACBS_PCH
2011-01-01,-5.50964
2011-04-01,-4.66472
2011-07-01,-4.28135
2011-10-01,-1.91693
2012-01-01,-4.56026
2012-04-01,-3.07167
2012-07-01,-2.11268
2012-10-01,-5.39568
2013-01-01,-2.66160
2013-04-01,-3.12500
2013-07-01,-3.22581
2013-10-01,-1.25000
2014-01-01,-2.10970
2014-04-01,-2.15517
2014-07-01,-3.08370
2014-10-01,-5.00000
2015-01-01,-3.82775
2015-04-01,-1.49254
2015-07-01,1.01010
2015-10-01,0.50000
2016-01-01,-0.49751
2016-04-01,2.50000
2016-07-01,1.46341
2016-10-01,3.36538
2017-01-01,1.39535
2017-04-01,1.83486
2017-07-01,2.25225
2017-10-01,-1.76211
2018-01-01,1.79372
2018-04-01,-0.44053
2018-07-01,1.76991
2018-10-01,0.43478
2019-01-01,0.86580
2019-04-01,1.28755
2019-07-01,-0.84746
2019-10-01,-1.28205
2020-01-01,7.35931
2020-04-01,-18.95161
2020-07-01,-9.45274
2020-10-01,5.49451
2021-01-01,-11.97917
2021-04-01,-8.87574
2021-07-01,-1.29870
2021-10-01,0.65789
2022-01-01,7.84314
2022-04-01,9.69697
2022-07-01,6.07735
2022-10-01,7.29167
2023-01-01,8.25243
2023-04-01,6.72646
2023-07-01,5.88235
2023-10-01,3.17460
2024-01-01,3.07692
2024-04-01,2.23881
